Step     	Epsilon  	Train Perp	Perp     	Key Perp 	Val Perp 	Other Perp	
         1	None      	 96.267572	 35.136520	 35.097806	114.822363	 10.629404	
         2	None      	 55.939088	 12.253743	 23.881436	 47.805697	  1.566070	
         3	None      	 13.127345	  5.084811	  5.030109	 18.684745	  1.379898	
         4	None      	  5.525900	  3.823683	  2.897473	 13.496985	  1.418814	
         5	None      	  3.729719	  2.809024	  1.917461	  9.846232	  1.167892	
         6	None      	  2.645728	  2.499124	  1.719133	  8.570844	  1.053885	
         7	None      	  2.427509	  2.239376	  1.452297	  7.393652	  1.042197	
         8	None      	  2.151776	  2.043272	  1.211290	  6.723168	  1.045889	
         9	None      	  1.956745	  1.877914	  1.101562	  5.830250	  1.030448	
        10	None      	  1.831247	  1.780093	  1.059718	  5.237500	  1.015829	
        11	None      	  1.727198	  1.733111	  1.022629	  5.024408	  1.013056	
        12	None      	  1.639622	  1.701135	  1.014573	  4.807482	  1.009233	
        13	None      	  1.607567	  1.655785	  1.010725	  4.469197	  1.004900	
        14	None      	  1.583282	  1.608090	  1.006638	  4.106775	  1.005897	
        15	None      	  1.568382	  1.582463	  1.002235	  3.907086	  1.012099	
        16	None      	  1.542193	  1.572548	  1.000942	  3.835086	  1.013173	
        17	None      	  1.557354	  1.576116	  1.000599	  3.883671	  1.007614	
        18	None      	  1.497073	  1.598922	  1.000400	  4.068679	  1.004321	
        19	None      	  1.445388	  1.617026	  1.000275	  4.210826	  1.003878	
        20	None      	  1.476089	  1.605741	  1.000212	  4.118413	  1.005142	
        21	None      	  1.506264	  1.585289	  1.000173	  3.948624	  1.008891	
        22	None      	  1.472982	  1.574115	  1.000144	  3.851175	  1.012770	
        23	None      	  1.438825	  1.565152	  1.000125	  3.793562	  1.010686	
        24	None      	  1.493976	  1.552385	  1.000110	  3.720601	  1.005453	
        25	None      	  1.481582	  1.541113	  1.000099	  3.650512	  1.002578	
        26	None      	  1.437815	  1.538023	  1.000089	  3.632698	  1.001445	
        27	None      	  1.496786	  1.529478	  1.000080	  3.572609	  1.001418	
        28	None      	  1.425944	  1.520922	  1.000074	  3.511321	  1.001906	
        29	None      	  1.449418	  1.518938	  1.000069	  3.495806	  1.002430	
        30	None      	  1.515838	  1.518192	  1.000066	  3.490250	  1.002551	
        31	None      	  1.439685	  1.525518	  1.000063	  3.542361	  1.002170	
        32	None      	  1.462954	  1.536454	  1.000063	  3.620197	  1.001862	
        33	None      	  1.403068	  1.548646	  1.000062	  3.709389	  1.001227	
        34	None      	  1.476962	  1.560595	  1.000063	  3.796854	  1.000976	
        35	None      	  1.441712	  1.568210	  1.000063	  3.852878	  1.000930	
        36	None      	  1.457230	  1.571189	  1.000063	  3.874941	  1.000913	
        37	None      	  1.489727	  1.564195	  1.000063	  3.823026	  1.001020	
        38	None      	  1.438448	  1.560804	  1.000062	  3.797931	  1.001096	
        39	None      	  1.404926	  1.559758	  1.000061	  3.790712	  1.000987	
        40	None      	  1.458664	  1.556626	  1.000060	  3.768347	  1.000875	
        41	None      	  1.433009	  1.555172	  1.000057	  3.758025	  1.000816	
        42	None      	  1.425826	  1.553092	  1.000055	  3.742769	  1.000872	
        43	None      	  1.395060	  1.552262	  1.000054	  3.736316	  1.000997	
        44	None      	  1.424981	  1.550540	  1.000052	  3.723170	  1.001195	
        45	None      	  1.424661	  1.546435	  1.000049	  3.692754	  1.001452	
        46	None      	  1.418679	  1.541149	  1.000047	  3.654882	  1.001489	
        47	None      	  1.453511	  1.530340	  1.000044	  3.578900	  1.001385	
        48	None      	  1.407308	  1.521505	  1.000042	  3.518049	  1.001164	
        49	None      	  1.432874	  1.518418	  1.000040	  3.497605	  1.000899	
        50	None      	  1.373574	  1.516503	  1.000038	  3.485146	  1.000679	
        51	None      	  1.414911	  1.515155	  1.000037	  3.476401	  1.000523	
        52	None      	  1.409063	  1.514225	  1.000036	  3.470476	  1.000388	
        53	None      	  1.438532	  1.514622	  1.000035	  3.473478	  1.000310	
        54	None      	  1.443405	  1.516003	  1.000035	  3.483117	  1.000272	
        55	None      	  1.396038	  1.518307	  1.000035	  3.499103	  1.000248	
        56	None      	  1.423174	  1.513697	  1.000034	  3.467367	  1.000236	
        57	None      	  1.395511	  1.508364	  1.000034	  3.430860	  1.000234	
        58	None      	  1.403061	  1.505545	  1.000033	  3.411618	  1.000248	
        59	None      	  1.398090	  1.505817	  1.000032	  3.413424	  1.000262	
        60	None      	  1.430296	  1.512114	  1.000030	  3.456512	  1.000239	
        61	None      	  1.382013	  1.521981	  1.000029	  3.524699	  1.000217	
        62	None      	  1.389594	  1.530365	  1.000027	  3.583345	  1.000197	
        63	None      	  1.385545	  1.536123	  1.000026	  3.623967	  1.000191	
        64	None      	  1.396181	  1.541818	  1.000024	  3.664426	  1.000192	
        65	None      	  1.390063	  1.540747	  1.000023	  3.656778	  1.000198	
        66	None      	  1.385632	  1.538307	  1.000023	  3.639398	  1.000208	
        67	None      	  1.396890	  1.531979	  1.000023	  3.594564	  1.000238	
        68	None      	  1.415285	  1.526800	  1.000024	  3.558056	  1.000286	
        69	None      	  1.443462	  1.520237	  1.000025	  3.512267	  1.000314	
        70	None      	  1.411189	  1.510633	  1.000025	  3.446264	  1.000274	
        71	None      	  1.394072	  1.503593	  1.000027	  3.398375	  1.000251	
        72	None      	  1.391189	  1.508577	  1.000028	  3.432345	  1.000231	
        73	None      	  1.402477	  1.519370	  1.000027	  3.506549	  1.000230	
        74	None      	  1.417093	  1.524259	  1.000026	  3.540325	  1.000283	
        75	None      	  1.384646	  1.528010	  1.000025	  3.566314	  1.000344	
        76	None      	  1.389681	  1.528071	  1.000025	  3.566537	  1.000402	
        77	None      	  1.431242	  1.516374	  1.000026	  3.485074	  1.000456	
        78	None      	  1.381544	  1.505099	  1.000027	  3.407773	  1.000495	
        79	None      	  1.377907	  1.499993	  1.000027	  3.373119	  1.000521	
        80	None      	  1.350242	  1.498231	  1.000027	  3.361296	  1.000508	
        81	None      	  1.384405	  1.497913	  1.000026	  3.359328	  1.000455	
        82	None      	  1.361262	  1.499136	  1.000025	  3.367792	  1.000387	
        83	None      	  1.384548	  1.499374	  1.000025	  3.369508	  1.000356	
        84	None      	  1.377265	  1.500860	  1.000025	  3.379665	  1.000317	
        85	None      	  1.382823	  1.504883	  1.000025	  3.407043	  1.000279	
        86	None      	  1.397235	  1.507169	  1.000025	  3.422676	  1.000255	
        87	None      	  1.376048	  1.509653	  1.000024	  3.439701	  1.000234	
        88	None      	  1.388417	  1.510256	  1.000023	  3.443829	  1.000232	
        89	None      	  1.396479	  1.507940	  1.000022	  3.427989	  1.000239	
        90	None      	  1.383900	  1.505241	  1.000021	  3.409604	  1.000244	
        91	None      	  1.383198	  1.505482	  1.000020	  3.411134	  1.000277	
        92	None      	  1.399737	  1.505545	  1.000020	  3.411397	  1.000326	
        93	None      	  1.402689	  1.504409	  1.000019	  3.403609	  1.000349	
        94	None      	  1.368607	  1.502707	  1.000019	  3.392167	  1.000320	
