Step     	Epsilon  	Train Perp	Perp     	Key Perp 	Val Perp 	Other Perp	
         1	None      	102.417383	 29.193795	 30.092555	 51.500659	 15.947676	
         2	None      	 50.918901	 28.965668	 98.823614	126.590220	  1.863096	
         3	None      	 37.919939	 15.041052	 17.027165	 37.126916	  5.317196	
         4	None      	 16.597317	  7.629328	  9.248208	 21.127600	  2.239067	
         5	None      	  7.777739	  5.503879	  5.600375	 17.766562	  1.654289	
         6	None      	  5.328735	  4.294269	  4.301926	 12.333667	  1.475779	
         7	None      	  4.277740	  3.914664	  4.429979	  9.846716	  1.358270	
         8	None      	  3.846072	  3.715194	  4.119545	  9.357770	  1.314318	
         9	None      	  3.498226	  3.470748	  3.870091	  8.050426	  1.326893	
        10	None      	  3.297585	  3.067448	  3.372073	  6.675492	  1.269064	
        11	None      	  3.049984	  2.991206	  3.366341	  6.125597	  1.284781	
        12	None      	  2.867341	  2.921090	  3.450926	  5.575009	  1.282115	
        13	None      	  2.731022	  2.803041	  3.346243	  5.339353	  1.219630	
        14	None      	  2.654672	  2.687393	  3.167161	  5.205057	  1.164999	
        15	None      	  2.578225	  2.727132	  3.310269	  5.222040	  1.160440	
        16	None      	  2.552195	  2.562363	  3.124657	  4.708981	  1.131223	
        17	None      	  2.518782	  2.505816	  3.112915	  4.513407	  1.107777	
        18	None      	  2.333734	  2.544349	  3.499822	  4.287015	  1.084357	
        19	None      	  2.292924	  2.464138	  3.260910	  4.142418	  1.094999	
        20	None      	  2.288171	  2.448240	  3.092224	  4.193974	  1.119491	
        21	None      	  2.295673	  2.436281	  3.212953	  4.077901	  1.091200	
        22	None      	  2.270190	  2.412805	  3.180350	  3.923931	  1.113195	
        23	None      	  2.183570	  2.447222	  3.201312	  4.089577	  1.107030	
        24	None      	  2.268731	  2.381433	  3.121400	  3.966234	  1.078774	
        25	None      	  2.310349	  2.375170	  3.108062	  3.991872	  1.067909	
        26	None      	  2.200661	  2.356030	  3.098011	  3.847281	  1.085201	
        27	None      	  2.303318	  2.366707	  3.212892	  3.847286	  1.060020	
        28	None      	  2.169004	  2.328210	  2.978306	  3.909640	  1.072236	
        29	None      	  2.222663	  2.284237	  3.032060	  3.645817	  1.066385	
        30	None      	  2.263203	  2.297687	  2.994841	  3.710400	  1.079979	
        31	None      	  2.108176	  2.276099	  2.956086	  3.695193	  1.067985	
        32	None      	  2.201240	  2.310109	  3.032758	  3.749834	  1.072246	
        33	None      	  2.084317	  2.306855	  3.084120	  3.710208	  1.060847	
        34	None      	  2.217304	  2.286647	  3.002873	  3.747501	  1.050796	
        35	None      	  2.143900	  2.297601	  2.984039	  3.784314	  1.062457	
        36	None      	  2.149734	  2.328300	  3.003056	  3.910318	  1.063149	
        37	None      	  2.268196	  2.296845	  2.969558	  3.830787	  1.053607	
        38	None      	  2.168872	  2.266047	  2.880348	  3.790111	  1.054671	
        39	None      	  2.080145	  2.318458	  3.131665	  3.779837	  1.040669	
        40	None      	  2.178407	  2.289293	  2.930143	  3.854614	  1.050865	
        41	None      	  2.114496	  2.291385	  2.888697	  3.917668	  1.051831	
        42	None      	  2.082478	  2.302171	  2.930647	  3.977602	  1.035312	
        43	None      	  2.070773	  2.296869	  2.918656	  3.963674	  1.036080	
