Step     	Epsilon  	Train Perp	Perp     	Key Perp 	Val Perp 	Other Perp	
         1	  0.737047	867486.390538	24439.832848	15131417.704968	115709.970716	  7.152561	
         2	  0.740377	833741.295752	20911.994137	11974823.421606	92216.583338	  7.121557	
         3	  0.743707	656441.244392	17223.684443	8915038.448614	70152.335466	  7.046617	
         4	  0.747037	448340.615552	14208.232701	6626326.184275	53708.672435	  6.972307	
         5	  0.750367	336286.734631	11644.240370	4830953.548052	41272.339438	  6.872208	
         6	  0.753697	255862.736169	9684.147453	3595655.173388	32512.083642	  6.762242	
         7	  0.757027	219693.935401	8068.668481	2680187.529166	25832.915559	  6.622831	
         8	  0.760356	152711.967503	6790.172988	2023769.716635	20970.569519	  6.456786	
         9	  0.763686	153865.527950	5711.054046	1525893.220833	17072.495530	  6.275283	
        10	  0.767016	117434.326055	4786.608966	1141885.775522	13902.427772	  6.079346	
        11	  0.770346	78484.961152	4011.240911	849302.866546	11383.302615	  5.891163	
        12	  0.773676	70062.342499	3382.322822	636051.746877	9451.040491	  5.695555	
        13	  0.777006	44640.383839	2856.894413	475741.504813	7880.660626	  5.518171	
        14	  0.780335	41926.082504	2411.916680	354016.786108	6638.067826	  5.311841	
        15	  0.783665	33630.259930	2044.226180	264369.401845	5620.995106	  5.128146	
        16	  0.786995	25697.526193	1723.243284	194718.987025	4768.766289	  4.929931	
        17	  0.790325	22046.220358	1456.886845	143842.521651	4075.753424	  4.731445	
        18	  0.793655	17047.700394	1237.840726	106670.748298	3507.917729	  4.559410	
        19	  0.796985	14027.576782	1060.466855	80089.897282	3060.900591	  4.387411	
        20	  0.800315	11171.905355	909.434789	59840.975554	2681.066689	  4.239629	
        21	  0.803644	11605.327641	777.429145	44265.456988	2356.343547	  4.085147	
        22	  0.806974	8696.806218	663.170529	32450.904546	2077.054799	  3.935294	
        23	  0.810304	7336.321251	564.684671	23528.854985	1836.081510	  3.802008	
        24	  0.813634	5799.833935	482.010146	17110.832835	1632.190694	  3.668655	
        25	  0.816964	5364.220196	412.918445	12439.340927	1463.738734	  3.548286	
        26	  0.820294	4484.663104	354.861801	9109.412716	1317.290121	  3.427351	
        27	  0.823624	3340.004955	305.117348	6644.711901	1191.455612	  3.311954	
        28	  0.825913	3331.256920	263.541948	4885.650192	1082.599777	  3.203693	
        29	  0.825931	2401.227335	228.983625	3626.699556	989.304077	  3.106601	
        30	  0.825950	1949.121968	199.182007	2691.920757	906.802866	  3.013786	
        31	  0.825968	1843.256304	173.925995	2013.354060	833.684764	  2.926185	
        32	  0.825986	1663.497304	152.217515	1508.075611	769.012535	  2.846844	
        33	  0.826004	1524.583225	133.360427	1131.845502	709.328435	  2.773090	
        34	  0.826022	987.523930	117.295804	856.054973	656.128866	  2.704182	
        35	  0.826040	1053.717001	103.881413	656.542919	609.335932	  2.644132	
        36	  0.826059	818.433166	 92.435200	507.859372	567.144342	  2.593887	
        37	  0.826077	825.882966	 83.044678	401.412044	529.945020	  2.552656	
        38	  0.826095	716.958137	 75.200187	323.133696	497.192948	  2.515078	
        39	  0.826113	593.541117	 68.494975	263.233115	467.818476	  2.484514	
        40	  0.826131	550.705477	 62.759555	217.700248	441.020264	  2.455960	
        41	  0.826149	494.164973	 57.774839	182.204142	416.216937	  2.429975	
        42	  0.826168	436.980192	 53.490324	154.722786	393.943968	  2.403239	
        43	  0.826186	390.516852	 49.849740	133.231399	374.613466	  2.379012	
        44	  0.826204	346.058943	 46.555885	115.392094	355.623560	  2.360348	
        45	  0.826222	339.562714	 43.533187	100.389481	337.561683	  2.340113	
        46	  0.826240	334.156919	 40.845666	 88.022500	320.635256	  2.323902	
        47	  0.826258	295.359800	 38.445245	 77.807813	304.733202	  2.309438	
        48	  0.826277	249.749332	 36.377641	 69.675371	290.068580	  2.297876	
        49	  0.826295	242.009494	 34.514892	 62.685113	276.855860	  2.288061	
        50	  0.826313	216.676731	 32.848511	 56.774907	264.377318	  2.282838	
        51	  0.826331	210.391771	 31.369499	 51.821601	253.005208	  2.278237	
        52	  0.826349	191.273540	 29.991262	 47.428943	242.267202	  2.273836	
        53	  0.826367	183.662698	 28.731849	 43.680539	231.870032	  2.270075	
        54	  0.826386	188.495159	 27.561861	 40.307017	222.615709	  2.263733	
        55	  0.826404	169.524105	 26.479409	 37.312326	213.715149	  2.260581	
        56	  0.826422	164.863962	 25.444092	 34.597610	205.283184	  2.253593	
        57	  0.826440	159.112963	 24.490466	 32.217572	197.177408	  2.248384	
        58	  0.826458	152.371468	 23.599788	 30.097312	189.417164	  2.243405	
        59	  0.826476	128.175904	 22.744245	 28.135868	182.008068	  2.237121	
        60	  0.826495	128.302054	 21.955771	 26.392191	175.109496	  2.231347	
        61	  0.826513	114.958392	 21.237024	 24.864981	168.511445	  2.228622	
        62	  0.826531	110.338269	 20.529145	 23.432060	162.225656	  2.220291	
        63	  0.826549	115.052002	 19.878653	 22.150918	156.539592	  2.211111	
        64	  0.826567	106.197124	 19.269449	 20.987043	150.928127	  2.205911	
        65	  0.826585	105.759447	 18.683137	 19.916757	145.415157	  2.200139	
