Step     	Epsilon  	Train Perp	Perp     	Key Perp 	Val Perp 	Other Perp	
         1	  0.737047	394301.265433	7504.834189	2368209.469824	65804.990021	  2.344991	
         2	  0.740377	398258.832823	7034.390195	1932164.840584	62754.982461	  2.488779	
         3	  0.743707	301904.073585	6280.596156	1993178.969167	39207.448061	  2.750436	
         4	  0.747037	242425.772917	5170.846775	1411952.863891	36009.602170	  2.363987	
         5	  0.750367	144773.675145	4980.704595	1110457.181695	39072.474573	  2.483256	
         6	  0.753697	148058.832439	4173.724427	1015892.248926	26771.601780	  2.331791	
         7	  0.757027	108947.289433	2905.633504	435485.876295	22431.122908	  2.208827	
         8	  0.760356	96608.330889	2613.011003	487008.526931	13136.394972	  2.452703	
         9	  0.763686	85291.033906	3216.855077	730686.295246	16354.682948	  2.439353	
        10	  0.767016	80169.371552	2272.632118	335077.918965	13289.582250	  2.326108	
        11	  0.770346	51366.852584	1796.559097	240250.564262	10043.631421	  2.126073	
        12	  0.773676	44911.881354	1641.704100	271591.517709	7154.323003	  2.010920	
        13	  0.777006	34982.745904	1521.046225	210177.710950	6621.571939	  2.241518	
        14	  0.780335	30391.217597	1277.936294	125472.446190	6731.686041	  2.201886	
        15	  0.783665	27243.134925	1250.289269	167101.182262	5301.290329	  1.957773	
        16	  0.786995	21346.787521	996.593664	126128.455202	3905.524326	  1.786577	
        17	  0.790325	18084.365140	1056.093761	110874.656818	4288.614445	  2.210449	
        18	  0.793655	16327.706742	923.281146	103060.135034	3699.104572	  1.840063	
        19	  0.796985	13163.018524	717.310010	64944.190303	2747.261171	  1.852853	
        20	  0.800315	11731.706706	782.618120	88635.203937	2265.376597	  2.134465	
        21	  0.803644	12131.430387	665.655320	50938.103027	2829.597643	  1.837444	
        22	  0.806974	10485.609730	631.237929	53663.873121	2187.871251	  1.923448	
        23	  0.810304	7801.925009	532.057221	41364.348309	1816.091993	  1.803898	
        24	  0.813634	6598.493683	493.932455	30527.395605	1753.741423	  2.034167	
        25	  0.816964	6425.318988	457.516963	30286.363330	1555.708927	  1.835062	
        26	  0.820294	5956.292613	412.663545	23603.740198	1366.001470	  1.974399	
        27	  0.823624	5063.671769	424.744345	26330.242766	1264.966360	  2.082920	
        28	  0.825913	4854.777653	396.890798	22568.192007	1314.046047	  1.910020	
        29	  0.825931	4274.352048	322.913434	15071.986046	1081.873694	  1.878507	
        30	  0.825950	3436.956477	375.598472	22524.822436	1110.761584	  1.918896	
        31	  0.825968	3571.010832	286.748104	11727.422397	948.359779	  1.934229	
        32	  0.825986	3301.945982	253.086051	9882.140537	849.137975	  1.764085	
        33	  0.826004	2817.458851	253.663684	9839.915702	828.195114	  1.829703	
        34	  0.826022	2403.253685	255.488796	10455.503465	797.468440	  1.826001	
        35	  0.826040	2304.669291	224.324264	7540.798972	734.024008	  1.868721	
        36	  0.826059	2287.448536	196.286879	6054.234720	627.733544	  1.827191	
        37	  0.826077	2003.619800	196.195736	6113.018082	603.666163	  1.879512	
        38	  0.826095	1843.075252	203.298595	6345.564119	669.031246	  1.816306	
        39	  0.826113	1739.306452	174.195160	4974.628342	614.229814	  1.589357	
        40	  0.826131	1584.260779	174.709911	4540.522389	594.244562	  1.820222	
        41	  0.826149	1601.748200	163.448509	3655.827397	552.572284	  1.997219	
        42	  0.826168	1244.384338	156.004566	3720.115270	536.806075	  1.753969	
        43	  0.826186	1263.044271	149.640170	3318.908880	511.316140	  1.824506	
        44	  0.826204	1137.417062	133.361635	2798.602161	458.601197	  1.709560	
        45	  0.826222	1119.915474	134.821752	3203.085523	409.963243	  1.724075	
        46	  0.826240	1111.907282	127.772604	2400.238264	436.112575	  1.847933	
        47	  0.826258	1082.773242	118.767047	2068.447143	418.347764	  1.797570	
        48	  0.826277	886.847462	117.951688	2273.308432	395.784460	  1.690686	
        49	  0.826295	887.025090	109.988157	1913.307406	369.600839	  1.747945	
        50	  0.826313	769.858595	110.606501	1925.185333	384.080954	  1.699408	
        51	  0.826331	756.936326	 98.607087	1361.676135	375.485656	  1.748319	
        52	  0.826349	706.568080	 88.875838	1097.266069	336.303540	  1.778018	
        53	  0.826367	687.927722	 95.206426	1449.547848	336.074461	  1.649461	
        54	  0.826386	717.714757	 80.060718	861.341073	318.290727	  1.753599	
        55	  0.826404	640.119363	 80.109292	848.530841	314.527631	  1.805490	
        56	  0.826422	602.957029	 83.726422	947.567832	310.903002	  1.865826	
        57	  0.826440	592.630202	 74.174068	750.809475	282.125393	  1.808104	
        58	  0.826458	562.243175	 71.783213	748.309340	278.640226	  1.663476	
        59	  0.826476	497.718120	 70.598678	680.906571	280.532790	  1.729823	
        60	  0.826495	462.369769	 68.666365	628.567123	262.353317	  1.846464	
        61	  0.826513	470.910181	 71.057793	798.723914	258.659845	  1.626982	
        62	  0.826531	398.530641	 64.305169	637.178203	232.451221	  1.686614	
        63	  0.826549	417.346359	 62.881352	565.617089	237.043710	  1.744961	
        64	  0.826567	390.187394	 56.011127	455.168399	223.080925	  1.630964	
        65	  0.826585	385.425749	 54.027382	380.641253	228.651389	  1.711773	
        66	  0.826604	363.364595	 53.005089	381.545852	222.044922	  1.659999	
        67	  0.826622	345.094299	 54.047557	410.254229	202.432248	  1.795416	
        68	  0.826640	315.012435	 48.626105	292.666087	217.003260	  1.715038	
        69	  0.826658	325.789215	 46.493923	276.555424	199.622334	  1.725793	
        70	  0.826676	281.012492	 43.987867	260.333887	183.048410	  1.693887	
        71	  0.826694	255.108858	 44.406622	245.151375	192.280545	  1.763663	
        72	  0.826713	260.763755	 42.146417	226.351284	187.135773	  1.678506	
