Step     	Epsilon  	Train Perp	Perp     	Key Perp 	Val Perp 	Other Perp	
         1	  0.737047	108.882984	 56.931954	228.379849	224.719210	  3.440258	
         2	  0.740377	 92.157934	 51.596227	201.366219	206.588524	  3.160598	
         3	  0.743707	 83.950935	 46.734356	176.688857	188.912310	  2.928848	
         4	  0.747037	 69.738491	 42.405557	154.357355	172.938902	  2.737887	
         5	  0.750367	 69.250576	 38.714677	135.520568	159.257639	  2.578754	
         6	  0.753697	 65.735455	 35.637173	120.441299	148.248430	  2.432794	
         7	  0.757027	 53.661271	 32.952060	107.389167	137.808518	  2.322118	
         8	  0.760356	 48.645841	 30.662770	 96.402762	129.399504	  2.221134	
         9	  0.763686	 51.137354	 28.647975	 86.575028	121.835226	  2.143923	
        10	  0.767016	 42.491622	 26.758358	 77.696476	114.511195	  2.072822	
        11	  0.770346	 37.101635	 25.088707	 69.986907	107.531617	  2.021520	
        12	  0.773676	 36.039454	 23.602168	 63.523815	101.465326	  1.966594	
        13	  0.777006	 33.379907	 22.278534	 57.798481	 95.803229	  1.926703	
        14	  0.780335	 31.362171	 21.072872	 52.701929	 90.860989	  1.886884	
        15	  0.783665	 28.162612	 19.971116	 48.348728	 85.973786	  1.851576	
        16	  0.786995	 26.386038	 18.999021	 44.499687	 82.174493	  1.813299	
        17	  0.790325	 23.736663	 18.086364	 40.925082	 78.424050	  1.783578	
        18	  0.793655	 21.753126	 17.278122	 37.967514	 75.013168	  1.753404	
        19	  0.796985	 20.829292	 16.523358	 35.066381	 71.577007	  1.741423	
        20	  0.800315	 19.218104	 15.852181	 32.690800	 68.692695	  1.719761	
        21	  0.803644	 20.753187	 15.203674	 30.383318	 65.522966	  1.712656	
        22	  0.806974	 19.048936	 14.602143	 28.276512	 63.013151	  1.696408	
        23	  0.810304	 16.568661	 14.054859	 26.457165	 60.938182	  1.672725	
        24	  0.813634	 15.212510	 13.492812	 24.547310	 58.789242	  1.654535	
        25	  0.816964	 15.850601	 13.025150	 23.015985	 57.121976	  1.634651	
        26	  0.820294	 15.441753	 12.540795	 21.397782	 55.468313	  1.617168	
        27	  0.823624	 14.004438	 12.109687	 20.029639	 53.913054	  1.601335	
        28	  0.825913	 13.720097	 11.703590	 18.783743	 52.498867	  1.583870	
        29	  0.825931	 12.153498	 11.334022	 17.649173	 51.379145	  1.565184	
        30	  0.825950	 12.766347	 10.975232	 16.568898	 50.092870	  1.553642	
        31	  0.825968	 12.936776	 10.639858	 15.610680	 48.814513	  1.542610	
        32	  0.825986	 12.434471	 10.324415	 14.732481	 47.654870	  1.530600	
        33	  0.826004	 11.653213	 10.015330	 13.842060	 46.436848	  1.527056	
        34	  0.826022	 10.667170	  9.710987	 12.998254	 45.199033	  1.523972	
        35	  0.826040	 10.029536	  9.441270	 12.316756	 44.054639	  1.517155	
        36	  0.826059	 11.152434	  9.191364	 11.655719	 42.761457	  1.524933	
        37	  0.826077	  9.973228	  8.960359	 11.068263	 41.791480	  1.523148	
        38	  0.826095	 10.205548	  8.761702	 10.535486	 40.954745	  1.527489	
        39	  0.826113	  9.528997	  8.568337	 10.066933	 40.041365	  1.529927	
        40	  0.826131	  8.581031	  8.396607	  9.654079	 39.212754	  1.533782	
        41	  0.826149	  8.949496	  8.230517	  9.273445	 38.315635	  1.539771	
        42	  0.826168	  8.158128	  8.089880	  8.971263	 37.697503	  1.536718	
        43	  0.826186	  8.955554	  7.939112	  8.660998	 37.099044	  1.529177	
        44	  0.826204	  8.468711	  7.793473	  8.384974	 36.359709	  1.525032	
        45	  0.826222	  8.791620	  7.644202	  8.119986	 35.753639	  1.511595	
        46	  0.826240	  8.164312	  7.500006	  7.867215	 35.048227	  1.503601	
        47	  0.826258	  8.181518	  7.364219	  7.631477	 34.421849	  1.494457	
        48	  0.826277	  7.513302	  7.231331	  7.451654	 33.685523	  1.481061	
        49	  0.826295	  8.203022	  7.107398	  7.250907	 33.038121	  1.473807	
        50	  0.826313	  7.556768	  6.996942	  7.077573	 32.387953	  1.469845	
        51	  0.826331	  7.653891	  6.891692	  6.952877	 31.759227	  1.458150	
        52	  0.826349	  7.741591	  6.778595	  6.805614	 30.943324	  1.455234	
        53	  0.826367	  7.085394	  6.681279	  6.682072	 30.279920	  1.450540	
        54	  0.826386	  7.696169	  6.585850	  6.529678	 29.699691	  1.449815	
        55	  0.826404	  7.419566	  6.505712	  6.402936	 29.209927	  1.449384	
        56	  0.826422	  7.449232	  6.415908	  6.257546	 28.564726	  1.455029	
        57	  0.826440	  7.239054	  6.349134	  6.152151	 28.137914	  1.456254	
        58	  0.826458	  7.527211	  6.269252	  6.066189	 27.552176	  1.452245	
        59	  0.826476	  6.848536	  6.195801	  5.976818	 27.025538	  1.450693	
        60	  0.826495	  6.608724	  6.119771	  5.887291	 26.496460	  1.447737	
        61	  0.826513	  6.868988	  6.045805	  5.820218	 26.064596	  1.435398	
        62	  0.826531	  6.278808	  5.976071	  5.742936	 25.616387	  1.429680	
        63	  0.826549	  6.511582	  5.908881	  5.676561	 25.234524	  1.419379	
