Step     	Epsilon  	Train Perp	Perp     	Key Perp 	Val Perp 	Other Perp	
         1	  0.737047	114.981801	 62.637635	258.777537	209.184155	  4.348816	
         2	  0.740377	 98.505765	 56.189313	238.479468	182.280266	  3.908187	
         3	  0.743707	 85.710384	 45.132032	182.068309	134.835639	  3.593110	
         4	  0.747037	 76.967871	 46.490963	175.765771	184.701752	  2.965095	
         5	  0.750367	 72.974086	 43.757798	163.420999	142.611209	  3.451998	
         6	  0.753697	 69.922961	 38.758545	146.563908	124.599753	  3.061067	
         7	  0.757027	 58.954531	 40.417278	135.524381	149.522269	  3.131511	
         8	  0.760356	 52.929281	 35.385093	113.130319	138.271778	  2.723404	
         9	  0.763686	 56.076894	 34.852166	120.157925	117.941958	  2.872101	
        10	  0.767016	 47.164006	 29.888422	 91.327764	113.995757	  2.468943	
        11	  0.770346	 41.784356	 27.585304	 90.562446	 98.854720	  2.255311	
        12	  0.773676	 38.392036	 30.282743	103.160376	112.028504	  2.308737	
        13	  0.777006	 37.954853	 25.301274	 85.077938	 79.972618	  2.291638	
        14	  0.780335	 33.916430	 23.607008	 77.893453	 79.004660	  2.057584	
        15	  0.783665	 32.287755	 23.147542	 73.840020	 79.663759	  2.030174	
        16	  0.786995	 32.937803	 21.446727	 72.089976	 72.941975	  1.804565	
        17	  0.790325	 28.090953	 21.373904	 59.957275	 79.128888	  1.985620	
        18	  0.793655	 25.127210	 21.463848	 62.628974	 77.474022	  1.965017	
        19	  0.796985	 25.369694	 20.526575	 57.008017	 72.372542	  2.023852	
        20	  0.800315	 22.563262	 18.069232	 51.136879	 59.858350	  1.861287	
        21	  0.803644	 25.430586	 18.346850	 48.686636	 65.155355	  1.881271	
        22	  0.806974	 22.808431	 17.234811	 41.363003	 67.619910	  1.770630	
        23	  0.810304	 19.919121	 17.354814	 45.061951	 60.804200	  1.844621	
        24	  0.813634	 18.401276	 17.592193	 44.816604	 64.727215	  1.814573	
        25	  0.816964	 19.862853	 16.701194	 40.630152	 62.496727	  1.775109	
        26	  0.820294	 18.610476	 16.126559	 37.292440	 55.805399	  1.953647	
        27	  0.823624	 16.474596	 15.069146	 32.280743	 58.576996	  1.755024	
        28	  0.825913	 16.810703	 15.005244	 32.296917	 59.349921	  1.708879	
        29	  0.825931	 14.865255	 14.374274	 32.514018	 50.539996	  1.752670	
        30	  0.825950	 15.758964	 14.831602	 35.256082	 49.874003	  1.798258	
        31	  0.825968	 15.752525	 13.746687	 28.631580	 52.873521	  1.665356	
        32	  0.825986	 15.825570	 12.998521	 26.097235	 48.904630	  1.671766	
        33	  0.826004	 15.357235	 12.211650	 22.351545	 51.027050	  1.552468	
        34	  0.826022	 13.819867	 12.247794	 19.838110	 53.319883	  1.692513	
        35	  0.826040	 12.403923	 12.212034	 21.202975	 49.172627	  1.701024	
        36	  0.826059	 13.708473	 12.704593	 20.729445	 57.053051	  1.688698	
        37	  0.826077	 12.301835	 11.245364	 19.973716	 43.330861	  1.600015	
        38	  0.826095	 12.778619	 11.076312	 20.982260	 40.971748	  1.537808	
        39	  0.826113	 11.819488	 11.329805	 16.170612	 55.290911	  1.587361	
        40	  0.826131	 11.274844	 11.622433	 18.193075	 47.368609	  1.777717	
        41	  0.826149	 11.385617	 11.216991	 16.846886	 47.477593	  1.722647	
        42	  0.826168	 10.088387	 10.524558	 17.509897	 37.267820	  1.743607	
        43	  0.826186	 11.736615	 10.628405	 16.452815	 41.667206	  1.710094	
        44	  0.826204	 11.100388	  9.993103	 16.617039	 35.691023	  1.642131	
        45	  0.826222	 11.180015	  9.228255	 14.019404	 32.564616	  1.683424	
        46	  0.826240	 10.182731	  9.806202	 16.363605	 35.237602	  1.595792	
        47	  0.826258	 10.661129	  9.923211	 13.928039	 40.245282	  1.705102	
        48	  0.826277	  9.785805	  9.053943	 12.870331	 35.661652	  1.581754	
        49	  0.826295	 10.433611	  9.001558	 12.729686	 35.222945	  1.591491	
        50	  0.826313	  9.969244	  9.267632	 13.121197	 37.614251	  1.577232	
        51	  0.826331	  9.861367	  9.038459	 12.300102	 35.668216	  1.647797	
        52	  0.826349	  9.798992	  8.748495	 11.523483	 35.929518	  1.583772	
        53	  0.826367	  9.288127	  8.469274	 10.922541	 34.514267	  1.578974	
        54	  0.826386	  9.391824	  8.554851	 11.445387	 33.868504	  1.581844	
        55	  0.826404	  9.204362	  8.487491	 10.417708	 35.045160	  1.642452	
        56	  0.826422	  9.493433	  8.351507	 10.980383	 34.087603	  1.524240	
        57	  0.826440	  9.446111	  8.449954	 11.330437	 33.402038	  1.561286	
        58	  0.826458	  9.728535	  8.585737	 11.735060	 32.603708	  1.620050	
        59	  0.826476	  8.940234	  8.184946	 10.766768	 30.447429	  1.639867	
        60	  0.826495	  8.539129	  7.739487	 10.099336	 29.250640	  1.538532	
        61	  0.826513	  8.713737	  7.724132	 11.198107	 25.926787	  1.554638	
        62	  0.826531	  8.079800	  7.478215	  9.182077	 26.148038	  1.711331	
        63	  0.826549	  8.206225	  7.832468	 10.347765	 29.653651	  1.534783	
        64	  0.826567	  8.344376	  8.170009	 10.798991	 29.247990	  1.693240	
        65	  0.826585	  8.098342	  7.667195	 10.324157	 27.862587	  1.535758	
        66	  0.826604	  7.966256	  7.637129	 10.468368	 27.578484	  1.511802	
        67	  0.826622	  8.353893	  7.491599	 10.655721	 24.517826	  1.577340	
        68	  0.826640	  8.307892	  7.104011	  9.207636	 25.643909	  1.489537	
        69	  0.826658	  7.894250	  7.498831	  9.595831	 27.619129	  1.560940	
        70	  0.826676	  7.687896	  7.744968	 10.595863	 27.100591	  1.585846	
        71	  0.826694	  7.541399	  7.664680	 10.623414	 28.564617	  1.453099	
        72	  0.826713	  8.450683	  7.218900	  9.363376	 25.580775	  1.541056	
        73	  0.826731	  8.111418	  7.354923	  8.812447	 28.514082	  1.554704	
        74	  0.826749	  7.430519	  6.927565	  8.596124	 26.250128	  1.445968	
        75	  0.826767	  7.233554	  7.370281	 10.115648	 24.669410	  1.573229	
