Step     	Epsilon  	Train Perp	Perp     	Key Perp 	Val Perp 	Other Perp	
         1	  0.737047	  3.492383	  1.997687	  1.000000	  7.828327	  1.018585	
         2	  0.740377	  3.683960	  1.991040	  1.000000	  7.769538	  1.016056	
         3	  0.743707	  3.815890	  1.984044	  1.000000	  7.707099	  1.013501	
         4	  0.747037	  3.614289	  1.977459	  1.000000	  7.648597	  1.011092	
         5	  0.750367	  3.648478	  1.970913	  1.000000	  7.588504	  1.008990	
         6	  0.753697	  3.549902	  1.964727	  1.000000	  7.529505	  1.007334	
         7	  0.757027	  3.577443	  1.958720	  1.000000	  7.470780	  1.005954	
         8	  0.760356	  3.579551	  1.953070	  1.000000	  7.414456	  1.004838	
         9	  0.763686	  3.527979	  1.947943	  1.000000	  7.362531	  1.003968	
        10	  0.767016	  3.383975	  1.942690	  1.000000	  7.307509	  1.003359	
        11	  0.770346	  3.421834	  1.937705	  1.000000	  7.255300	  1.002813	
        12	  0.773676	  3.519415	  1.932781	  1.000000	  7.203177	  1.002386	
        13	  0.777006	  3.395914	  1.928396	  1.000000	  7.156668	  1.002044	
        14	  0.780335	  3.397889	  1.924137	  1.000000	  7.111325	  1.001765	
        15	  0.783665	  3.400963	  1.920031	  1.000000	  7.067458	  1.001541	
        16	  0.786995	  3.229078	  1.915986	  1.000000	  7.024223	  1.001347	
        17	  0.790325	  3.503554	  1.911896	  1.000000	  6.980598	  1.001165	
        18	  0.793655	  3.534368	  1.908049	  1.000000	  6.939451	  1.001032	
        19	  0.796985	  3.360905	  1.904483	  1.000000	  6.901286	  1.000934	
        20	  0.800315	  3.292075	  1.900797	  1.000000	  6.861868	  1.000849	
        21	  0.803644	  3.516063	  1.897293	  1.000000	  6.824496	  1.000774	
        22	  0.806974	  3.388483	  1.893769	  1.000000	  6.786939	  1.000715	
        23	  0.810304	  3.261513	  1.890358	  1.000000	  6.750714	  1.000657	
        24	  0.813634	  3.228145	  1.886979	  1.000000	  6.714915	  1.000607	
        25	  0.816964	  3.195881	  1.883761	  1.000000	  6.680938	  1.000559	
        26	  0.820294	  3.287987	  1.880681	  1.000000	  6.648498	  1.000517	
        27	  0.823624	  3.194884	  1.877505	  1.000000	  6.615086	  1.000484	
        28	  0.825913	  3.180755	  1.874488	  1.000000	  6.583388	  1.000462	
        29	  0.825931	  3.172717	  1.871567	  1.000000	  6.552813	  1.000438	
        30	  0.825950	  3.094904	  1.868723	  1.000000	  6.523134	  1.000415	
        31	  0.825968	  3.299442	  1.865819	  1.000000	  6.492906	  1.000395	
        32	  0.825986	  3.237471	  1.862837	  1.000000	  6.461922	  1.000379	
        33	  0.826004	  3.161086	  1.859978	  1.000000	  6.432338	  1.000360	
        34	  0.826022	  3.159697	  1.857151	  1.000000	  6.403161	  1.000342	
        35	  0.826040	  3.296911	  1.854348	  1.000000	  6.374312	  1.000328	
        36	  0.826059	  3.014239	  1.851569	  1.000000	  6.345790	  1.000312	
        37	  0.826077	  3.122512	  1.848998	  1.000000	  6.319465	  1.000301	
        38	  0.826095	  3.061836	  1.846403	  1.000000	  6.292957	  1.000290	
        39	  0.826113	  3.073586	  1.843881	  1.000000	  6.267275	  1.000279	
        40	  0.826131	  3.051248	  1.841551	  1.000000	  6.243607	  1.000269	
        41	  0.826149	  3.029018	  1.838940	  1.000000	  6.217144	  1.000260	
        42	  0.826168	  3.040931	  1.836477	  1.000000	  6.192270	  1.000248	
        43	  0.826186	  3.020197	  1.834058	  1.000000	  6.167886	  1.000240	
        44	  0.826204	  2.976678	  1.831783	  1.000000	  6.145000	  1.000233	
        45	  0.826222	  3.074361	  1.829477	  1.000000	  6.121871	  1.000225	
        46	  0.826240	  3.182248	  1.827037	  1.000000	  6.097453	  1.000218	
        47	  0.826258	  3.055705	  1.824611	  1.000000	  6.073239	  1.000211	
        48	  0.826277	  2.910929	  1.822361	  1.000000	  6.050829	  1.000206	
        49	  0.826295	  2.904914	  1.820291	  1.000000	  6.030271	  1.000200	
        50	  0.826313	  3.128089	  1.818230	  1.000000	  6.009804	  1.000199	
        51	  0.826331	  2.989303	  1.816173	  1.000000	  5.989470	  1.000194	
        52	  0.826349	  3.006730	  1.813992	  1.000000	  5.967937	  1.000190	
        53	  0.826367	  2.849836	  1.811871	  1.000000	  5.947061	  1.000184	
        54	  0.826386	  2.932224	  1.809832	  1.000000	  5.927034	  1.000180	
        55	  0.826404	  2.947608	  1.807752	  1.000000	  5.906639	  1.000177	
        56	  0.826422	  3.107417	  1.805634	  1.000000	  5.885924	  1.000174	
        57	  0.826440	  2.852770	  1.803620	  1.000000	  5.866258	  1.000172	
        58	  0.826458	  2.909782	  1.801634	  1.000000	  5.846924	  1.000169	
        59	  0.826476	  2.928064	  1.799629	  1.000000	  5.827438	  1.000166	
        60	  0.826495	  2.903922	  1.797625	  1.000000	  5.808001	  1.000164	
        61	  0.826513	  2.860755	  1.795589	  1.000000	  5.788312	  1.000160	
        62	  0.826531	  3.000548	  1.793631	  1.000000	  5.769408	  1.000158	
        63	  0.826549	  2.901606	  1.791790	  1.000000	  5.751684	  1.000155	
        64	  0.826567	  2.867938	  1.789933	  1.000000	  5.733841	  1.000150	
        65	  0.826585	  2.878348	  1.788114	  1.000000	  5.716396	  1.000147	
        66	  0.826604	  2.935621	  1.786315	  1.000000	  5.699184	  1.000143	
        67	  0.826622	  2.886563	  1.784584	  1.000000	  5.682643	  1.000140	
        68	  0.826640	  2.824992	  1.782836	  1.000000	  5.665977	  1.000139	
        69	  0.826658	  3.054647	  1.781044	  1.000000	  5.648927	  1.000135	
        70	  0.826676	  2.870170	  1.778998	  1.000000	  5.629493	  1.000133	
        71	  0.826694	  2.818234	  1.777097	  1.000000	  5.611482	  1.000130	
        72	  0.826713	  2.795906	  1.775340	  1.000000	  5.594876	  1.000127	
        73	  0.826731	  2.814845	  1.773623	  1.000000	  5.578666	  1.000125	
        74	  0.826749	  2.929852	  1.771948	  1.000000	  5.562883	  1.000123	
        75	  0.826767	  2.900540	  1.770322	  1.000000	  5.547599	  1.000121	
        76	  0.826785	  2.869565	  1.768627	  1.000000	  5.531684	  1.000119	
        77	  0.826803	  2.748234	  1.767092	  1.000000	  5.517320	  1.000114	
        78	  0.826822	  2.753966	  1.765549	  1.000000	  5.502889	  1.000112	
        79	  0.826840	  2.849310	  1.763968	  1.000000	  5.488133	  1.000110	
        80	  0.826858	  2.662202	  1.762183	  1.000000	  5.471493	  1.000109	
        81	  0.826876	  2.789436	  1.760546	  1.000000	  5.456281	  1.000106	
        82	  0.826894	  2.722143	  1.758942	  1.000000	  5.441377	  1.000107	
        83	  0.826912	  2.726261	  1.757221	  1.000000	  5.425418	  1.000106	
        84	  0.826931	  2.773496	  1.755545	  1.000000	  5.409910	  1.000106	
        85	  0.826949	  2.696150	  1.753631	  1.000000	  5.392229	  1.000107	
        86	  0.826967	  2.742667	  1.751727	  1.000000	  5.374683	  1.000107	
        87	  0.826985	  2.803868	  1.749822	  1.000000	  5.357168	  1.000108	
        88	  0.827003	  2.678700	  1.748066	  1.000000	  5.341052	  1.000109	
        89	  0.827022	  2.707285	  1.746316	  1.000000	  5.325028	  1.000109	
        90	  0.827040	  2.839697	  1.744410	  1.000000	  5.307603	  1.000109	
        91	  0.827058	  2.697805	  1.742608	  1.000000	  5.291173	  1.000109	
        92	  0.827076	  2.704781	  1.740808	  1.000000	  5.274792	  1.000109	
        93	  0.827094	  2.727445	  1.739091	  1.000000	  5.259198	  1.000109	
        94	  0.827112	  2.714332	  1.737460	  1.000000	  5.244425	  1.000109	
        95	  0.827131	  2.797519	  1.735720	  1.000000	  5.228687	  1.000108	
        96	  0.827149	  2.775880	  1.733950	  1.000000	  5.212717	  1.000106	
        97	  0.827167	  2.701369	  1.732291	  1.000000	  5.197767	  1.000106	
        98	  0.827185	  2.622193	  1.730604	  1.000000	  5.182594	  1.000106	
        99	  0.827203	  2.738931	  1.728953	  1.000000	  5.167776	  1.000106	
       100	  0.827221	  2.605463	  1.727198	  1.000000	  5.152053	  1.000106	
       101	  0.827240	  2.774130	  1.725333	  1.000000	  5.135383	  1.000106	
