Step     	Epsilon  	Train Perp	Perp     	Key Perp 	Val Perp 	Other Perp	
         1	  0.737047	  4.703048	  2.658535	  2.218588	  8.063602	  1.041998	
         2	  0.740377	  4.983535	  2.675675	  2.216665	  8.103483	  1.058151	
         3	  0.743707	  5.119062	  2.632230	  2.156610	  7.809921	  1.074906	
         4	  0.747037	  4.866751	  2.628960	  2.142239	  8.000322	  1.052270	
         5	  0.750367	  4.904067	  2.639710	  2.205666	  7.909539	  1.046086	
         6	  0.753697	  4.739054	  2.618416	  2.146715	  7.879463	  1.053392	
         7	  0.757027	  4.810281	  2.629477	  2.214728	  7.743181	  1.051877	
         8	  0.760356	  4.823805	  2.608002	  2.212483	  7.763655	  1.024372	
         9	  0.763686	  4.747062	  2.588316	  2.174924	  7.725053	  1.023911	
        10	  0.767016	  4.585895	  2.594296	  2.170845	  7.689329	  1.037930	
        11	  0.770346	  4.600404	  2.602428	  2.198623	  7.607449	  1.045558	
        12	  0.773676	  4.765599	  2.582320	  2.190063	  7.546921	  1.033644	
        13	  0.777006	  4.563871	  2.592620	  2.174757	  7.555715	  1.052477	
        14	  0.780335	  4.586728	  2.572672	  2.174421	  7.466471	  1.040700	
        15	  0.783665	  4.633147	  2.577133	  2.144774	  7.545757	  1.049687	
        16	  0.786995	  4.391099	  2.569783	  2.184129	  7.410718	  1.040303	
        17	  0.790325	  4.757956	  2.564748	  2.207047	  7.423158	  1.021437	
        18	  0.793655	  4.760766	  2.545172	  2.152531	  7.379326	  1.029948	
        19	  0.796985	  4.560372	  2.537082	  2.182709	  7.245771	  1.024389	
        20	  0.800315	  4.479715	  2.577553	  2.208278	  7.410548	  1.038170	
        21	  0.803644	  4.750008	  2.558421	  2.172644	  7.401804	  1.033218	
        22	  0.806974	  4.592123	  2.531353	  2.159166	  7.144565	  1.043451	
        23	  0.810304	  4.372880	  2.541382	  2.187541	  7.274582	  1.023227	
        24	  0.813634	  4.403941	  2.524681	  2.246645	  7.041992	  1.008622	
        25	  0.816964	  4.362387	  2.542425	  2.181609	  7.288794	  1.025322	
        26	  0.820294	  4.458582	  2.543492	  2.219643	  7.198840	  1.021403	
        27	  0.823624	  4.328209	  2.508396	  2.200702	  6.983431	  1.018678	
        28	  0.825913	  4.295392	  2.510134	  2.207647	  7.081505	  1.003299	
        29	  0.825931	  4.322300	  2.515246	  2.188249	  7.040283	  1.024675	
        30	  0.825950	  4.237082	  2.501881	  2.221046	  6.898225	  1.013723	
        31	  0.825968	  4.500400	  2.495448	  2.189798	  6.953138	  1.012357	
        32	  0.825986	  4.409249	  2.511127	  2.205820	  7.036662	  1.011828	
        33	  0.826004	  4.361585	  2.513271	  2.186337	  7.036568	  1.023697	
        34	  0.826022	  4.284063	  2.487516	  2.183062	  6.887379	  1.015497	
        35	  0.826040	  4.564644	  2.492058	  2.181966	  6.958876	  1.011046	
